timestamp_utc,region,probe_id,target,rtt_values,rtt_avg
2025-10-21 09:37:59,Brno,25757,cesnet.cz,"[4.718468, 4.635779, 4.697778]",4.68
2025-10-21 10:37:59,Brno,25757,cesnet.cz,"[4.723389, 4.645378, 4.661283]",4.68
2025-10-21 19:37:58,Brno,25757,cesnet.cz,"[4.776198, 4.652343, 4.612967]",4.68
2025-10-21 20:37:58,Brno,25757,cesnet.cz,"[4.685518, 4.663564, 4.701478]",4.68
2025-10-22 07:53:00,Brno,25757,cesnet.cz,"[4.731478, 4.647683, 4.695854]",4.69
2025-10-21 12:38:00,Brno,25757,cesnet.cz,"[4.763299, 4.662673, 4.658303]",4.69
2025-10-21 15:52:59,Brno,25757,cesnet.cz,"[4.711618, 4.680668, 4.683764]",4.69
2025-10-22 06:22:59,Brno,25757,cesnet.cz,"[4.697388, 4.662938, 4.721984]",4.69
2025-10-22 05:52:58,Brno,25757,cesnet.cz,"[4.726448, 4.745344, 4.599653]",4.69
2025-10-21 15:07:59,Brno,25757,cesnet.cz,"[4.660839, 4.608693, 4.792034]",4.69
2025-10-22 00:37:57,Brno,25757,cesnet.cz,"[4.667318, 4.734833, 4.665399]",4.69
2025-10-21 19:07:59,Brno,25757,cesnet.cz,"[4.776088, 4.670853, 4.649122]",4.7
2025-10-21 11:52:58,Brno,25757,cesnet.cz,"[4.786543, 4.658723, 4.662128]",4.7
2025-10-22 07:08:02,Brno,25746,cesnet.cz,"[5.011747, 4.598571, 4.503736]",4.7
2025-10-21 18:53:00,Brno,25757,cesnet.cz,"[4.829504, 4.638933, 4.654578]",4.71
2025-10-21 22:38:03,Brno,25746,cesnet.cz,"[4.947272, 4.565551, 4.625386]",4.71
2025-10-22 03:23:02,Brno,25746,cesnet.cz,"[4.892752, 4.668841, 4.559001]",4.71
2025-10-21 08:08:01,Brno,25746,cesnet.cz,"[4.963847, 4.552606, 4.600077]",4.71
2025-10-21 13:07:57,Brno,25757,cesnet.cz,"[4.749608, 4.776298, 4.625589]",4.72
2025-10-22 07:07:57,Brno,25757,cesnet.cz,"[4.73082, 4.778919, 4.647303]",4.72
2025-10-21 23:22:59,Brno,25757,cesnet.cz,"[4.789849, 4.740429, 4.644343]",4.72
2025-10-21 23:08:00,Brno,25757,cesnet.cz,"[4.83269, 4.652848, 4.706288]",4.73
2025-10-21 19:38:04,Brno,25746,cesnet.cz,"[4.918532, 4.632632, 4.647577]",4.73
2025-10-22 06:23:03,Brno,25746,cesnet.cz,"[5.048313, 4.604837, 4.560946]",4.74
2025-10-21 14:38:02,Brno,25746,cesnet.cz,"[5.082267, 4.610041, 4.529082]",4.74
2025-10-21 23:37:59,Brno,25757,cesnet.cz,"[4.775108, 4.715233, 4.722804]",4.74
2025-10-21 19:08:00,Brno,25746,cesnet.cz,"[5.120998, 4.573211, 4.562772]",4.75
2025-10-21 09:08:04,Brno,25746,cesnet.cz,"[5.129766, 4.541086, 4.591221]",4.75
2025-10-21 17:38:03,Brno,25746,cesnet.cz,"[5.186418, 4.616232, 4.492316]",4.76
2025-10-22 03:53:01,Brno,25746,cesnet.cz,"[5.088023, 4.635332, 4.569922]",4.76
2025-10-21 10:38:03,Brno,25746,cesnet.cz,"[5.227622, 4.471216, 4.604562]",4.77
2025-10-22 02:53:03,Brno,25746,cesnet.cz,"[4.926386, 4.678647, 4.776782]",4.79
2025-10-21 21:53:03,Brno,25746,cesnet.cz,"[4.960678, 4.729607, 4.700777]",4.8
2025-10-22 06:53:01,Brno,25746,cesnet.cz,"[5.084907, 4.502731, 4.839002]",4.81
2025-10-22 02:23:01,Brno,25746,cesnet.cz,"[4.909781, 4.740651, 4.816977]",4.82
2025-10-21 16:23:04,Brno,25746,cesnet.cz,"[5.005848, 4.554822, 4.911922]",4.82
2025-10-21 20:53:04,Brno,25746,cesnet.cz,"[5.023642, 4.558472, 4.901108]",4.83
2025-10-21 22:08:01,Brno,25746,cesnet.cz,"[5.209088, 4.743621, 4.610007]",4.85
2025-10-21 20:38:01,Brno,25746,cesnet.cz,"[5.094193, 4.773797, 4.687813]",4.85
2025-10-21 21:23:01,Brno,25746,cesnet.cz,"[5.208628, 4.700633, 4.727202]",4.88
2025-10-22 04:53:02,Brno,25746,cesnet.cz,"[5.158222, 4.910222, 4.570812]",4.88
2025-10-21 12:38:01,Brno,25746,cesnet.cz,"[5.053098, 4.732357, 4.886022]",4.89
2025-10-21 17:08:01,Brno,25746,cesnet.cz,"[5.230408, 4.475052, 5.005227]",4.9
2025-10-21 15:38:03,Brno,25746,cesnet.cz,"[5.043307, 5.024802, 4.671396]",4.91
2025-10-21 08:23:04,Brno,25746,cesnet.cz,"[5.235997, 4.595346, 4.888461]",4.91
2025-10-21 11:23:02,Brno,25746,cesnet.cz,"[5.054562, 5.107388, 4.577817]",4.91
2025-10-21 18:08:03,Brno,25746,cesnet.cz,"[5.099562, 4.847053, 4.798397]",4.92
2025-10-22 05:23:04,Brno,25746,cesnet.cz,"[5.395802, 4.555296, 4.837041]",4.93
2025-10-22 02:08:03,Brno,25746,cesnet.cz,"[5.417532, 4.615426, 4.796737]",4.94
2025-10-21 17:53:02,Brno,25746,cesnet.cz,"[5.206108, 4.782067, 4.817231]",4.94
2025-10-21 15:23:01,Brno,25746,cesnet.cz,"[5.600517, 4.450546, 4.754228]",4.94
2025-10-21 09:38:01,Brno,25746,cesnet.cz,"[5.359407, 4.800207, 4.680022]",4.95
2025-10-22 00:38:02,Brno,25746,cesnet.cz,"[5.098808, 4.797182, 4.987157]",4.96
2025-10-22 01:08:01,Brno,25746,cesnet.cz,"[5.042152, 5.239953, 4.597811]",4.96
2025-10-22 06:38:02,Brno,25746,cesnet.cz,"[5.144407, 4.862966, 4.913337]",4.97
2025-10-21 19:53:26,Brno,1000276,cesnet.cz,"[5.002302, 5.065418, 4.902506]",4.99
2025-10-21 14:23:02,Brno,25746,cesnet.cz,"[5.316272, 4.657141, 4.981682]",4.99
2025-10-21 14:53:03,Brno,25746,cesnet.cz,"[5.160667, 4.821096, 4.990072]",4.99
2025-10-22 00:53:03,Brno,25746,cesnet.cz,"[5.167107, 4.763266, 5.063097]",5.0
2025-10-22 04:38:26,Brno,1000276,cesnet.cz,"[4.97684, 4.9811, 5.064268]",5.01
2025-10-21 15:53:04,Brno,25746,cesnet.cz,"[5.903159, 4.556981, 4.574657]",5.01
2025-10-22 03:38:04,Brno,25746,cesnet.cz,"[5.175762, 4.976987, 4.881173]",5.01
2025-10-21 17:53:27,Brno,1000276,cesnet.cz,"[5.079334, 4.942083, 5.009825]",5.01
2025-10-22 05:53:04,Brno,25746,cesnet.cz,"[4.944637, 4.794312, 5.331127]",5.02
2025-10-22 00:23:01,Brno,25746,cesnet.cz,"[5.127702, 5.328418, 4.599036]",5.02
2025-10-21 10:08:26,Brno,1000276,cesnet.cz,"[5.032057, 5.049494, 5.017368]",5.03
2025-10-21 12:53:04,Brno,25746,cesnet.cz,"[5.727728, 4.819487, 4.558992]",5.04
2025-10-21 09:23:04,Brno,25746,cesnet.cz,"[4.979587, 4.695521, 5.479522]",5.05
2025-10-21 20:23:03,Brno,25746,cesnet.cz,"[5.302178, 4.465012, 5.379028]",5.05
2025-10-21 11:38:01,Brno,25746,cesnet.cz,"[5.295232, 5.002247, 4.892867]",5.06
2025-10-21 15:23:26,Brno,1000276,cesnet.cz,"[5.233118, 5.091216, 4.850531]",5.06
2025-10-21 13:53:03,Brno,25746,cesnet.cz,"[5.708438, 4.506806, 4.950437]",5.06
2025-10-21 22:23:27,Brno,1000276,cesnet.cz,"[5.054815, 5.135701, 4.980737]",5.06
2025-10-21 08:38:26,Brno,1000276,cesnet.cz,"[5.08167, 5.073675, 5.035551]",5.06
2025-10-22 07:53:01,Brno,25746,cesnet.cz,"[5.021997, 4.924557, 5.231502]",5.06
2025-10-22 03:23:28,Brno,1000276,cesnet.cz,"[5.237225, 5.009593, 4.9217]",5.06
2025-10-21 12:38:26,Brno,1000276,cesnet.cz,"[5.037446, 5.099799, 5.074264]",5.07
2025-10-21 11:23:26,Brno,1000276,cesnet.cz,"[5.137493, 5.092764, 4.972157]",5.07
2025-10-21 13:08:26,Brno,1000276,cesnet.cz,"[5.214929, 4.997815, 5.003469]",5.07
2025-10-22 03:08:02,Brno,25746,cesnet.cz,"[5.742829, 4.805862, 4.655591]",5.07
2025-10-21 19:53:03,Brno,25746,cesnet.cz,"[5.94843, 4.668166, 4.617772]",5.08
2025-10-21 08:23:25,Brno,1000276,cesnet.cz,"[5.081699, 5.06236, 5.084508]",5.08
2025-10-21 20:23:25,Brno,1000276,cesnet.cz,"[4.993946, 5.087081, 5.168576]",5.08
2025-10-21 14:53:27,Brno,1000276,cesnet.cz,"[5.195357, 5.00997, 5.030578]",5.08
2025-10-21 22:23:01,Brno,25746,cesnet.cz,"[5.138763, 5.094203, 4.993482]",5.08
2025-10-21 09:53:04,Brno,25746,cesnet.cz,"[5.215375, 4.932872, 5.079658]",5.08
